cor,cor;mse,1;normalizacao;description;Classificador;Sinonimos + delaf;Hiponimos;Hiperonimos;Hiponimos + Hiperonimos;Média WE
0,199131291;0,834787233;Não;target~ embeddings_sum;GLM;Sim;Não;Não;Não;Sim
0,051993035;0,800782852;Não;target~ embeddings_pca;GLM;Sim;Não;Não;Não;Sim
0,441530411;0,669914275;Não;target~ tfidf;GLM;Sim;Não;Não;Não;Sim
0,199131543;0,836547169;Não;target~ penality,rowsums;GLM;Sim;Não;Não;Não;Sim
0,527077309;0,552444204;Não;target~ ngram_proportion;GLM;Sim;Não;Não;Não;Sim
0,61585613;0,502262447;Não;target~ common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,61585613;0,502262447;Não;target~ uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,025145689;0,759543073;Não;target~ antonym;GLM;Sim;Não;Não;Não;Sim
0,187386269;0,827993543;Não;target~ embeddings_sum + embeddings_pca;GLM;Sim;Não;Não;Não;Sim
0,469209382;0,824129384;Não;target~ embeddings_sum + tfidf;GLM;Sim;Não;Não;Não;Sim
0,199203548;284.749.017.798.746;Não;target~ embeddings_sum + penality,rowsums;GLM;Sim;Não;Não;Não;Sim
0,51982255;0,568312147;Não;target~ embeddings_sum + ngram_proportion;GLM;Sim;Não;Não;Não;Sim
0,629320695;0,46222869;Não;target~ embeddings_sum + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,629320695;0,46222869;Não;target~ embeddings_sum + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,20092715;0,833377303;Não;target~ embeddings_sum + antonym;GLM;Sim;Não;Não;Não;Sim
0,423917896;0,674849166;Não;target~ embeddings_pca + tfidf;GLM;Sim;Não;Não;Não;Sim
0,187514719;0,82932457;Não;target~ embeddings_pca + penality,rowsums;GLM;Sim;Não;Não;Não;Sim
0,50924808;0,563940061;Não;target~ embeddings_pca + ngram_proportion;GLM;Sim;Não;Não;Não;Sim
0,600041126;0,513973148;Não;target~ embeddings_pca + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,600041126;0,513973148;Não;target~ embeddings_pca + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,053149587;0,800323961;Não;target~ embeddings_pca + antonym;GLM;Sim;Não;Não;Não;Sim
0,469025169;0,826351831;Não;target~ tfidf + penality,rowsums;GLM;Sim;Não;Não;Não;Sim
0,557233234;0,545695474;Não;target~ tfidf + ngram_proportion;GLM;Sim;Não;Não;Não;Sim
0,636721326;0,460898952;Não;target~ tfidf + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,636721326;0,460898952;Não;target~ tfidf + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,441612844;0,669832751;Não;target~ tfidf + antonym;GLM;Sim;Não;Não;Não;Sim
0,519733218;0,568638603;Não;target~ penality,rowsums + ngram_proportion;GLM;Sim;Não;Não;Não;Sim
0,629267355;0,462241786;Não;target~ penality,rowsums + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,629267355;0,462241786;Não;target~ penality,rowsums + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,200922102;0,835132648;Não;target~ penality,rowsums + antonym;GLM;Sim;Não;Não;Não;Sim
0,637275924;0,473529791;Não;target~ ngram_proportion + common_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,637275924;0,473529791;Não;target~ ngram_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,527503132;0,55215679;Não;target~ ngram_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,61585613;0,502262447;Não;target~ common_word_proportion + uncommon_word_proportion;GLM;Sim;Não;Não;Não;Sim
0,615720386;0,502313257;Não;target~ common_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,615720386;0,502313257;Não;target~ uncommon_word_proportion + antonym;GLM;Sim;Não;Não;Não;Sim
0,467986423;0,811438871;Não;target~ embeddings_sum + embeddings_pca + tfidf;GLM;Sim;Não;Não;Não;Sim
0,199204805;277.251.672.469.465;Não;target~ embeddings_sum + embeddings_pca + penality,rowsums;GLM;Sim;Não;Não;Não;Sim
