"cor.cor";"mse";"description";"epochs";"hidden_neurons";"learning_rate"
"1";0.207162799331167;0.733589577264318;"target~ embeddings_sum";500;"5";0.01
"2";0.302908763789417;0.925270424719919;"target~ embeddings_pca";500;"5";0.01
"3";0.447479077795722;0.626884173209751;"target~ tfidf";500;"5";0.01
"4";0.207129681829344;0.733573631604703;"target~ penality.rowsums";500;"5";0.01
"5";0.535614275494503;0.542941805598512;"target~ ngram_proportion";500;"5";0.01
"6";0.624479115704497;0.469140851589443;"target~ common_word_proportion";500;"5";0.01
"7";0.624301633146735;0.469302194177566;"target~ uncommon_word_proportion";500;"5";0.01
"8";0.0244644009908936;0.759720385172533;"target~ antonym";500;"5";0.01
"9";0.300860102720782;0.834847985969215;"target~ embeddings_sum + embeddings_pca";500;"5";0.01
"10";0.491191697011689;0.578712810471154;"target~ embeddings_sum + tfidf";500;"5";0.01
"11";0.207320883875446;0.73352599407928;"target~ embeddings_sum + penality.rowsums";500;"5";0.01
"12";0.534380078418201;0.543242768289516;"target~ embeddings_sum + ngram_proportion";500;"5";0.01
"13";0.638027037958182;0.464755991896907;"target~ embeddings_sum + common_word_proportion";500;"5";0.01
"14";0.63802096000926;0.46494307364069;"target~ embeddings_sum + uncommon_word_proportion";500;"5";0.01
"15";0.20822125837958;0.733275407445896;"target~ embeddings_sum + antonym";500;"5";0.01
"16";0.458924388702808;0.680494545673604;"target~ embeddings_pca + tfidf";500;"5";0.01
"17";0.286062094069403;0.837791952922693;"target~ embeddings_pca + penality.rowsums";500;"5";0.01
"18";0.536893220322751;0.588671411538194;"target~ embeddings_pca + ngram_proportion";500;"5";0.01
"19";0.620583913597199;0.476408192517022;"target~ embeddings_pca + common_word_proportion";500;"5";0.01
"20";0.622327768675396;0.474068391968724;"target~ embeddings_pca + uncommon_word_proportion";500;"5";0.01
"21";0.304582167610819;0.922894621782763;"target~ embeddings_pca + antonym";500;"5";0.01
"22";0.491150272739629;0.578746804894031;"target~ tfidf + penality.rowsums";500;"5";0.01
"23";0.564517539329235;0.527554192959228;"target~ tfidf + ngram_proportion";500;"5";0.01
"24";0.6367765067828;0.453630910389065;"target~ tfidf + common_word_proportion";500;"5";0.01
"25";0.642745037116009;0.448849811366758;"target~ tfidf + uncommon_word_proportion";500;"5";0.01
"26";0.44783182358674;0.626648350866058;"target~ tfidf + antonym";500;"5";0.01
"27";0.534313561972139;0.543214919139327;"target~ penality.rowsums + ngram_proportion";500;"5";0.01
"28";0.638052250930421;0.464738254202805;"target~ penality.rowsums + common_word_proportion";500;"5";0.01
"29";0.637845650923308;0.465097941188168;"target~ penality.rowsums + uncommon_word_proportion";500;"5";0.01
"30";0.208101742083835;0.733312097276703;"target~ penality.rowsums + antonym";500;"5";0.01
"31";0.645803254530786;0.445269513800245;"target~ ngram_proportion + common_word_proportion";500;"5";0.01
"32";0.645652001326149;0.445407851239415;"target~ ngram_proportion + uncommon_word_proportion";500;"5";0.01
"33";0.53586928432759;0.542732881244993;"target~ ngram_proportion + antonym";500;"5";0.01
"34";0.624674054608364;0.468957572749199;"target~ common_word_proportion + uncommon_word_proportion";500;"5";0.01
"35";0.623601713394746;0.469817534023474;"target~ common_word_proportion + antonym";500;"5";0.01
"36";0.623354989298036;0.470034740092327;"target~ uncommon_word_proportion + antonym";500;"5";0.01
"37";0.477387483397839;0.592587051884573;"target~ embeddings_sum + embeddings_pca + tfidf";500;"5";0.01
"38";0.300565014004118;0.835253892455762;"target~ embeddings_sum + embeddings_pca + penality.rowsums";500;"5";0.01
"39";0.537739409102012;0.563230673031829;"target~ embeddings_sum + embeddings_pca + ngram_proportion";500;"5";0.01
"40";0.636386698663622;0.452111155493355;"target~ embeddings_sum + embeddings_pca + common_word_proportion";500;"5";0.01
"41";0.628172618727797;0.460147001268363;"target~ embeddings_sum + embeddings_pca + uncommon_word_proportion";500;"5";0.01
"42";0.299069815580069;0.833575646022855;"target~ embeddings_sum + embeddings_pca + antonym";500;"5";0.01
"43";0.491183905137595;0.578682736000491;"target~ embeddings_sum + tfidf + penality.rowsums";500;"5";0.01
"44";0.562680135599726;0.520495850806688;"target~ embeddings_sum + tfidf + ngram_proportion";500;"5";0.01
"45";0.658334830369212;0.437144609152625;"target~ embeddings_sum + tfidf + common_word_proportion";500;"5";0.01
"46";0.659893768197164;0.436005401057219;"target~ embeddings_sum + tfidf + uncommon_word_proportion";500;"5";0.01
"47";0.488911679587057;0.580356358786708;"target~ embeddings_sum + tfidf + antonym";500;"5";0.01
"48";0.534596460709641;0.543044931465096;"target~ embeddings_sum + penality.rowsums + ngram_proportion";500;"5";0.01
