"cor.cor";"mse";"description";"epochs";"hidden_neurons";"learning_rate"
"1";0.207054759037911;0.732459260121615;"target~ embeddings_sum";500;"5";0.01
"2";0.312113672371766;0.909578317743501;"target~ embeddings_pca";500;"5";0.01
"3";0.446515304925437;0.624696191571939;"target~ tfidf";500;"5";0.01
"4";0.207011765848625;0.732471054541605;"target~ penality.rowsums";500;"5";0.01
"5";0.535820367764578;0.542935389994558;"target~ ngram_proportion";500;"5";0.01
"6";0.619322060027669;0.472472969959841;"target~ common_word_proportion";500;"5";0.01
"7";0.619137978786478;0.472653558401703;"target~ uncommon_word_proportion";500;"5";0.01
"8";0.0251544790329344;0.759711352649705;"target~ antonym";500;"5";0.01
"9";0.310855031512601;0.822320470412339;"target~ embeddings_sum + embeddings_pca";500;"5";0.01
"10";0.490832168923581;0.578863320975262;"target~ embeddings_sum + tfidf";500;"5";0.01
"11";0.207320697303463;0.732387707643075;"target~ embeddings_sum + penality.rowsums";500;"5";0.01
"12";0.533833680412991;0.543424148297974;"target~ embeddings_sum + ngram_proportion";500;"5";0.01
"13";0.632585066880735;0.466630539307414;"target~ embeddings_sum + common_word_proportion";500;"5";0.01
"14";0.633885873090651;0.465511917237991;"target~ embeddings_sum + uncommon_word_proportion";500;"5";0.01
"15";0.208178693180478;0.732154809835407;"target~ embeddings_sum + antonym";500;"5";0.01
"16";0.461903221345935;0.669722593895372;"target~ embeddings_pca + tfidf";500;"5";0.01
"17";0.308385146747734;0.82508120178167;"target~ embeddings_pca + penality.rowsums";500;"5";0.01
"18";0.540569271750775;0.581669399526963;"target~ embeddings_pca + ngram_proportion";500;"5";0.01
"19";0.619266190818224;0.476035963639043;"target~ embeddings_pca + common_word_proportion";500;"5";0.01
"20";0.619775702268643;0.475468432091878;"target~ embeddings_pca + uncommon_word_proportion";500;"5";0.01
"21";0.312114555028276;0.90766716868607;"target~ embeddings_pca + antonym";500;"5";0.01
"22";0.490765771217865;0.578922931116995;"target~ tfidf + penality.rowsums";500;"5";0.01
"23";0.564735017814146;0.526881565686972;"target~ tfidf + ngram_proportion";500;"5";0.01
"24";0.632206745552069;0.457547915785888;"target~ tfidf + common_word_proportion";500;"5";0.01
"25";0.638039267685827;0.452952765513081;"target~ tfidf + uncommon_word_proportion";500;"5";0.01
"26";0.446609925443626;0.624696645740224;"target~ tfidf + antonym";500;"5";0.01
"27";0.534951791606511;0.542641303452835;"target~ penality.rowsums + ngram_proportion";500;"5";0.01
"28";0.63321733787219;0.466012089314506;"target~ penality.rowsums + common_word_proportion";500;"5";0.01
"29";0.633310071079301;0.466023012943931;"target~ penality.rowsums + uncommon_word_proportion";500;"5";0.01
"30";0.208088625060071;0.7321593922493;"target~ penality.rowsums + antonym";500;"5";0.01
"31";0.643672411778908;0.44655595343811;"target~ ngram_proportion + common_word_proportion";500;"5";0.01
"32";0.643551582660225;0.446682109915902;"target~ ngram_proportion + uncommon_word_proportion";500;"5";0.01
"33";0.536046081352288;0.542746664195014;"target~ ngram_proportion + antonym";500;"5";0.01
"34";0.619471546013546;0.47234623860658;"target~ common_word_proportion + uncommon_word_proportion";500;"5";0.01
"35";0.618525323321476;0.473087076840144;"target~ common_word_proportion + antonym";500;"5";0.01
"36";0.618293611730206;0.473292142577274;"target~ uncommon_word_proportion + antonym";500;"5";0.01
"37";0.489481690651834;0.581042411480865;"target~ embeddings_sum + embeddings_pca + tfidf";500;"5";0.01
"38";0.310150124037358;0.823459239509437;"target~ embeddings_sum + embeddings_pca + penality.rowsums";500;"5";0.01
"39";0.538837612581888;0.561328440231937;"target~ embeddings_sum + embeddings_pca + ngram_proportion";500;"5";0.01
"40";0.633654706904096;0.454739298349828;"target~ embeddings_sum + embeddings_pca + common_word_proportion";500;"5";0.01
"41";0.630801075816404;0.457561760024726;"target~ embeddings_sum + embeddings_pca + uncommon_word_proportion";500;"5";0.01
"42";0.298453657849449;0.827324162285908;"target~ embeddings_sum + embeddings_pca + antonym";500;"5";0.01
"43";0.490872810048864;0.578797977224022;"target~ embeddings_sum + tfidf + penality.rowsums";500;"5";0.01
"44";0.566823256336987;0.516611471227793;"target~ embeddings_sum + tfidf + ngram_proportion";500;"5";0.01
"45";0.658168551167955;0.436419779047652;"target~ embeddings_sum + tfidf + common_word_proportion";500;"5";0.01
"46";0.657517977578283;0.437690624798763;"target~ embeddings_sum + tfidf + uncommon_word_proportion";500;"5";0.01
"47";0.488231357485549;0.580707772076762;"target~ embeddings_sum + tfidf + antonym";500;"5";0.01
"48";0.534259424706918;0.543146690729223;"target~ embeddings_sum + penality.rowsums + ngram_proportion";500;"5";0.01
"49";0.633132695026214;0.466066762278337;"target~ embeddings_sum + penality.rowsums + common_word_proportion";500;"5";0.01
"50";0.633284970710817;0.466115177331843;"target~ embeddings_sum + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"51";0.208170524038808;0.732149654179923;"target~ embeddings_sum + penality.rowsums + antonym";500;"5";0.01
"52";0.647421378142415;0.445515890938708;"target~ embeddings_sum + ngram_proportion + common_word_proportion";500;"5";0.01
"53";0.649075434515675;0.444347341729838;"target~ embeddings_sum + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"54";0.535060920308949;0.542546097385074;"target~ embeddings_sum + ngram_proportion + antonym";500;"5";0.01
"55";0.634275845346679;0.465101407602664;"target~ embeddings_sum + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"56";0.633364861864894;0.465660966874268;"target~ embeddings_sum + common_word_proportion + antonym";500;"5";0.01
"57";0.633577664858565;0.465760673992765;"target~ embeddings_sum + uncommon_word_proportion + antonym";500;"5";0.01
"58";0.48233504597704;0.584273411928013;"target~ embeddings_pca + tfidf + penality.rowsums";500;"5";0.01
"59";0.561946074255778;0.542210626407009;"target~ embeddings_pca + tfidf + ngram_proportion";500;"5";0.01
"60";0.636762730737365;0.455151003699849;"target~ embeddings_pca + tfidf + common_word_proportion";500;"5";0.01
"61";0.637180377261961;0.454726561737161;"target~ embeddings_pca + tfidf + uncommon_word_proportion";500;"5";0.01
"62";0.458903392220491;0.677409824688698;"target~ embeddings_pca + tfidf + antonym";500;"5";0.01
"63";0.541293668299548;0.560156169872177;"target~ embeddings_pca + penality.rowsums + ngram_proportion";500;"5";0.01
"64";0.634099308662493;0.454373557244239;"target~ embeddings_pca + penality.rowsums + common_word_proportion";500;"5";0.01
"65";0.633337508889643;0.455046856591398;"target~ embeddings_pca + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"66";0.295097141752262;0.851242730162924;"target~ embeddings_pca + penality.rowsums + antonym";500;"5";0.01
"67";0.626495399243794;0.463368955877286;"target~ embeddings_pca + ngram_proportion + common_word_proportion";500;"5";0.01
"68";0.632585091532603;0.457735578426057;"target~ embeddings_pca + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"69";0.541048040451487;0.581042365311651;"target~ embeddings_pca + ngram_proportion + antonym";500;"5";0.01
"70";0.618944251808227;0.477641771513297;"target~ embeddings_pca + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"71";0.619922231230018;0.475668641326292;"target~ embeddings_pca + common_word_proportion + antonym";500;"5";0.01
"72";0.616822195206247;0.479918471219756;"target~ embeddings_pca + uncommon_word_proportion + antonym";500;"5";0.01
"73";0.567349220538622;0.516264487674738;"target~ tfidf + penality.rowsums + ngram_proportion";500;"5";0.01
"74";0.654063672163348;0.440108201185682;"target~ tfidf + penality.rowsums + common_word_proportion";500;"5";0.01
"75";0.656812234805773;0.438193573661085;"target~ tfidf + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"76";0.490114165504415;0.579214337107594;"target~ tfidf + penality.rowsums + antonym";500;"5";0.01
"77";0.650086408975478;0.440712987759213;"target~ tfidf + ngram_proportion + common_word_proportion";500;"5";0.01
"78";0.648450056707175;0.441940229055419;"target~ tfidf + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"79";0.564336603042952;0.527123826401281;"target~ tfidf + ngram_proportion + antonym";500;"5";0.01
"80";0.631743252914208;0.457955418379261;"target~ tfidf + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"81";0.636694270370232;0.453933443644717;"target~ tfidf + common_word_proportion + antonym";500;"5";0.01
"82";0.636243952337609;0.454321158905762;"target~ tfidf + uncommon_word_proportion + antonym";500;"5";0.01
"83";0.647142011566409;0.445701262139909;"target~ penality.rowsums + ngram_proportion + common_word_proportion";500;"5";0.01
"84";0.647761868302521;0.44535820090558;"target~ penality.rowsums + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"85";0.534946813712862;0.542649698323076;"target~ penality.rowsums + ngram_proportion + antonym";500;"5";0.01
"86";0.633822954864157;0.465548485210534;"target~ penality.rowsums + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"87";0.633344524918114;0.46584083803197;"target~ penality.rowsums + common_word_proportion + antonym";500;"5";0.01
"88";0.632033167071276;0.467300001557584;"target~ penality.rowsums + uncommon_word_proportion + antonym";500;"5";0.01
"89";0.643041883111535;0.447184430794451;"target~ ngram_proportion + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"90";0.642887823928769;0.447283733129639;"target~ ngram_proportion + common_word_proportion + antonym";500;"5";0.01
"91";0.642727272162813;0.447437755692799;"target~ ngram_proportion + uncommon_word_proportion + antonym";500;"5";0.01
"92";0.618569433697199;0.473113199756277;"target~ common_word_proportion + uncommon_word_proportion + antonym";500;"5";0.01
"93";0.483708536661305;0.586397317688804;"target~ embeddings_sum + embeddings_pca + tfidf + penality.rowsums";500;"5";0.01
"94";0.561378764139859;0.522514185910085;"target~ embeddings_sum + embeddings_pca + tfidf + ngram_proportion";500;"5";0.01
"95";0.634503141710686;0.457815261503686;"target~ embeddings_sum + embeddings_pca + tfidf + common_word_proportion";500;"5";0.01
"96";0.636846773627716;0.455878723291788;"target~ embeddings_sum + embeddings_pca + tfidf + uncommon_word_proportion";500;"5";0.01
"97";0.491847295376151;0.579862389867391;"target~ embeddings_sum + embeddings_pca + tfidf + antonym";500;"5";0.01
"98";0.541418728471392;0.559887067534177;"target~ embeddings_sum + embeddings_pca + penality.rowsums + ngram_proportion";500;"5";0.01
"99";0.633047537206889;0.455353750040536;"target~ embeddings_sum + embeddings_pca + penality.rowsums + common_word_proportion";500;"5";0.01
"100";0.633844932516822;0.454561934626885;"target~ embeddings_sum + embeddings_pca + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"101";0.310113399256179;0.823574635974355;"target~ embeddings_sum + embeddings_pca + penality.rowsums + antonym";500;"5";0.01
"102";0.646969726024295;0.443457403557837;"target~ embeddings_sum + embeddings_pca + ngram_proportion + common_word_proportion";500;"5";0.01
"103";0.642761315353497;0.44767874895353;"target~ embeddings_sum + embeddings_pca + ngram_proportion + uncommon_word_proportion";500;"5";0.01
"104";0.541434611103404;0.558876141911831;"target~ embeddings_sum + embeddings_pca + ngram_proportion + antonym";500;"5";0.01
"105";0.634225796881496;0.45426151917331;"target~ embeddings_sum + embeddings_pca + common_word_proportion + uncommon_word_proportion";500;"5";0.01
"106";0.625992239105673;0.46223266049552;"target~ embeddings_sum + embeddings_pca + common_word_proportion + antonym";500;"5";0.01
"107";0.631543247236068;0.456837289786312;"target~ embeddings_sum + embeddings_pca + uncommon_word_proportion + antonym";500;"5";0.01
"108";0.562867524936438;0.520933363319271;"target~ embeddings_sum + tfidf + penality.rowsums + ngram_proportion";500;"5";0.01
"109";0.651500898708234;0.442150949418334;"target~ embeddings_sum + tfidf + penality.rowsums + common_word_proportion";500;"5";0.01
"110";0.656984350244371;0.437747941638169;"target~ embeddings_sum + tfidf + penality.rowsums + uncommon_word_proportion";500;"5";0.01
"111";0.481584366678892;0.585922035869373;"target~ embeddings_sum + tfidf + penality.rowsums + antonym";500;"5";0.01
"112";0.658057989795274;0.434576929240141;"target~ embeddings_sum + tfidf + ngram_proportion + common_word_proportion";500;"5";0.01
"113";0.658134948757135;0.434616562449566;"target~ embeddings_sum + tfidf + ngram_proportion + uncommon_word_proportion";500;"5";0.01
