"cor.cor";"mse.1";"description"
"1";0.207770957586743;0.837728202496243;"target~ embeddings_sum"
"2";0.290544369323033;0.720060680189304;"target~ embeddings_pca"
"3";0.444777484814093;0.680413279835108;"target~ tfidf"
"4";0.207835369799368;0.839541416132656;"target~ penality.rowsums"
"5";0.532758697642065;0.546362436662991;"target~ ngram_proportion"
"6";0.616889883539158;0.506140114308571;"target~ common_word_proportion"
"7";0.616889883539158;0.506140114308572;"target~ uncommon_word_proportion"
"8";0.0103589080924055;0.776734445900102;"target~ antonym"
"9";0.294298040100004;0.858802207567179;"target~ embeddings_sum + embeddings_pca"
"10";0.497980165574871;0.820030687837269;"target~ embeddings_sum + tfidf"
"11";0.208113032690182;0.840547595970334;"target~ embeddings_sum + penality.rowsums"
"12";0.52761149823248;0.56181871152167;"target~ embeddings_sum + ngram_proportion"
"13";0.623614322700449;0.46629598454671;"target~ embeddings_sum + common_word_proportion"
"14";0.623614322700448;0.46629598454671;"target~ embeddings_sum + uncommon_word_proportion"
"15";0.209332570767056;0.833088501626799;"target~ embeddings_sum + antonym"
"16";0.46144833750865;0.696361448020335;"target~ embeddings_pca + tfidf"
"17";0.294124520930764;0.861119984910316;"target~ embeddings_pca + penality.rowsums"
"18";0.542589272459283;0.540303259842475;"target~ embeddings_pca + ngram_proportion"
"19";0.622119072834958;0.478385263186285;"target~ embeddings_pca + common_word_proportion"
"20";0.622119072834958;0.478385263186285;"target~ embeddings_pca + uncommon_word_proportion"
"21";0.287012145160728;0.718665965106481;"target~ embeddings_pca + antonym"
"22";0.498126359129732;0.821702941415343;"target~ tfidf + penality.rowsums"
"23";0.559593564161908;0.546192026998336;"target~ tfidf + ngram_proportion"
"24";0.637329837395385;0.457547750888469;"target~ tfidf + common_word_proportion"
"25";0.637329837395385;0.45754775088847;"target~ tfidf + uncommon_word_proportion"
"26";0.441736813281944;0.680356561732265;"target~ tfidf + antonym"
"27";0.527546655511521;0.562149702826319;"target~ penality.rowsums + ngram_proportion"
"28";0.623462626424949;0.466443679903772;"target~ penality.rowsums + common_word_proportion"
"29";0.623462626424949;0.466443679903771;"target~ penality.rowsums + uncommon_word_proportion"
"30";0.209403588271961;0.834197078152571;"target~ penality.rowsums + antonym"
"31";0.640115112788106;0.47208369344915;"target~ ngram_proportion + common_word_proportion"
"32";0.640115112788107;0.472083693449151;"target~ ngram_proportion + uncommon_word_proportion"
"33";0.532688443274526;0.546401338271463;"target~ ngram_proportion + antonym"
"34";0.61745995312419;0.505929206124008;"target~ common_word_proportion + uncommon_word_proportion"
"35";0.616403402234282;0.505759371342357;"target~ common_word_proportion + antonym"
"36";0.616403402234282;0.505759371342357;"target~ uncommon_word_proportion + antonym"
"37";0.492452035579121;0.805422223631798;"target~ embeddings_sum + embeddings_pca + tfidf"
"38";0.295286124762017;0.8555213364701;"target~ embeddings_sum + embeddings_pca + penality.rowsums"
"39";0.527740283504329;0.575752473539643;"target~ embeddings_sum + embeddings_pca + ngram_proportion"
"40";0.621979596778402;0.470330506368636;"target~ embeddings_sum + embeddings_pca + common_word_proportion"
"41";0.621979596778402;0.470330506368636;"target~ embeddings_sum + embeddings_pca + uncommon_word_proportion"
"42";0.295386940530915;0.836131743508592;"target~ embeddings_sum + embeddings_pca + antonym"
"43";0.503089741464343;0.814088837650558;"target~ embeddings_sum + tfidf + penality.rowsums"
"44";0.569001114714623;0.609874279180927;"target~ embeddings_sum + tfidf + ngram_proportion"
"45";0.652720313133042;0.465522446365343;"target~ embeddings_sum + tfidf + common_word_proportion"
"46";0.652720313133042;0.465522446365343;"target~ embeddings_sum + tfidf + uncommon_word_proportion"
"47";0.496610718439461;0.810731095010232;"target~ embeddings_sum + tfidf + antonym"
"48";0.517752218009963;0.572428919826714;"target~ embeddings_sum + penality.rowsums + ngram_proportion"
"49";0.614034017699764;0.475018409842073;"target~ embeddings_sum + penality.rowsums + common_word_proportion"
"50";0.614034017699764;0.475018409842074;"target~ embeddings_sum + penality.rowsums + uncommon_word_proportion"
"51";0.209478633355375;0.836696453617924;"target~ embeddings_sum + penality.rowsums + antonym"
"52";0.639723537119854;0.452066765663849;"target~ embeddings_sum + ngram_proportion + common_word_proportion"
"53";0.639723537119855;0.452066765663849;"target~ embeddings_sum + ngram_proportion + uncommon_word_proportion"
"54";0.526949939759491;0.561866030154536;"target~ embeddings_sum + ngram_proportion + antonym"
"55";0.625569787526361;0.464942465054909;"target~ embeddings_sum + common_word_proportion + uncommon_word_proportion"
"56";0.62553168525952;0.464863925416008;"target~ embeddings_sum + common_word_proportion + antonym"
"57";0.62553168525952;0.464863925416008;"target~ embeddings_sum + uncommon_word_proportion + antonym"
"58";0.492492243160205;0.807038310294353;"target~ embeddings_pca + tfidf + penality.rowsums"
"59";0.559941198805839;0.555306965416469;"target~ embeddings_pca + tfidf + ngram_proportion"
"60";0.637471360934798;0.456850919477475;"target~ embeddings_pca + tfidf + common_word_proportion"
"61";0.637471360934798;0.456850919477475;"target~ embeddings_pca + tfidf + uncommon_word_proportion"
"62";0.456803121468479;0.696352647725366;"target~ embeddings_pca + tfidf + antonym"
"63";0.527489726730793;0.5763306636004;"target~ embeddings_pca + penality.rowsums + ngram_proportion"
"64";0.621783874377032;0.470606097289357;"target~ embeddings_pca + penality.rowsums + common_word_proportion"
"65";0.621783874377032;0.470606097289357;"target~ embeddings_pca + penality.rowsums + uncommon_word_proportion"
"66";0.295222451351381;0.838419541361081;"target~ embeddings_pca + penality.rowsums + antonym"
"67";0.641875550003421;0.457371844122851;"target~ embeddings_pca + ngram_proportion + common_word_proportion"
"68";0.641875550003421;0.457371844122851;"target~ embeddings_pca + ngram_proportion + uncommon_word_proportion"
"69";0.541394773879896;0.540843515917172;"target~ embeddings_pca + ngram_proportion + antonym"
"70";0.622436134403806;0.477983026504445;"target~ embeddings_pca + common_word_proportion + uncommon_word_proportion"
